author_id,user_type,is_low_cred
1000141948269678592,both,0.03460758760498118
101779040,influential,0.0060091172813924575
1018425398869282817,both,0.34299516908212563
1036239330984054784,fiber,0.10471037555697009
1037648264672079872,influential,0.010982306284319707
1043185714437992449,influential,0.000488599348534202
1071493866489044993,fiber,0.033240403173922364
1088817055602757633,fiber,0.0014204000153556758
1106312355267469312,both,0.06752094627895515
11134252,both,0.049611476389719064
1121554471,both,0.10503842869342442
1134618385495527425,fiber,0.1588235294117647
1146225861743403008,influential,0.0002960331557134399
1148711615686160384,fiber,0.46853146853146854
115279420,fiber,0.01428786283651677
1153042794375712770,both,0.03765690376569038
1162682346094522370,fiber,0.03161676646706587
116356889,fiber,0.031922088462058705
1194770389634895873,both,0.06334519572953737
1196926455990632449,both,1.0
1216789842,influential,0.006677350427350427
123617604,fiber,0.0738255033557047
125128723,both,0.03296703296703297
126911579,influential,0.049886621315192746
1274690550,both,0.013684320484696543
1340481373,influential,0.0002449179524859172
1344897174,influential,0.007067137809187279
138889809,both,0.01038781163434903
1392956425,influential,0.017743979721166033
1398479138,both,0.07873090481786134
14247236,influential,0.0012297372833985467
14377605,fiber,0.041988950276243095
1494835716,both,0.1667285054137012
15416505,influential,0.015789473684210527
162301746,both,0.033082863702776036
16269666,both,0.23029502421840597
16279880,both,0.03817416111941312
16589206,influential,0.0023584905660377358
16936686,both,0.05851474448046935
17537467,influential,0.004086398131932283
18247062,both,0.46543264942016055
18266688,both,0.055652680652680656
18643437,both,0.21842586943258085
186562905,both,0.08710801393728224
18837791,influential,0.01835985312117503
19130146,both,0.21098626716604243
19329393,fiber,0.5683881064162755
19422491,both,0.009535020600353149
19553409,influential,0.008380724334031727
21150492,fiber,0.03470149253731343
2176476241,both,0.10961214165261383
22240612,both,0.7977430555555556
22677397,influential,0.010303967027305513
22956220,influential,0.002181500872600349
23023227,both,0.01116751269035533
2413821780,fiber,0.9712230215827338
2417586104,influential,0.0
2451476942,both,0.9395585143658024
24787367,fiber,0.015815815815815815
26028938,both,0.7521935655410795
26487169,influential,0.01675041876046901
2713937910,influential,0.010226767452200978
2748355923,fiber,0.05993485342019544
27493883,influential,0.0006451315607575688
27522964,both,0.4914947520810713
275276082,both,0.8356798814375694
2757833205,fiber,0.02854006586169045
2923411356,both,0.053395784543325525
2924521080,influential,0.013869625520110958
29398579,both,0.1945630195461694
2981776113,both,0.13791550310782813
29873671,both,0.029201430274135878
3041775900,both,0.7207392197125256
3314383418,fiber,0.06488725264611137
3369234799,influential,0.5
341194704,fiber,0.01849469282727565
348113898,fiber,0.061509860976398316
3530404094,both,0.686358754027927
3775360879,both,0.8038331454340474
38495835,both,0.030249110320284697
39344374,influential,0.001454898157129001
39743812,both,0.6532244532691985
406483952,fiber,0.024734982332155476
41160276,fiber,0.015394483643361129
41634520,both,0.6066282420749279
435704007,both,0.013183815729656009
43753976,fiber,0.01404413872169676
446228264,fiber,0.014871987951807228
4765364386,both,0.5920948616600791
477174486,fiber,0.09945762268836177
478855762,influential,0.0034227039361095267
4789453135,influential,0.0017161954656309277
49682880,influential,0.019548872180451128
499230066,both,0.1887218045112782
52544275,influential,0.0036968576709796672
592730371,both,0.006178223579008577
594886554,both,0.1652402896642528
631310817,both,0.3335046248715313
635928417,influential,0.004899510048995101
69557688,fiber,0.15085158150851583
71869296,fiber,0.5021459227467812
727137760574857216,influential,0.013042284459088413
734168909553766405,both,0.009235668789808917
73928096,fiber,1.0
769108935726997504,influential,0.0
770781940341288960,influential,0.007889546351084813
782018153207431168,both,0.2740740740740741
78523300,influential,0.0016556291390728477
802121664,fiber,0.3277707808564232
803017539903029248,fiber,0.036245954692556634
806347865073315844,influential,0.003474415666456096
83182871,both,0.1698207171314741
839099917121511425,both,0.024760136180748994
856991644134068224,influential,0.9096730704415235
86177206,influential,0.03021978021978022
878916812,both,0.04312938816449348
895286614431346688,both,0.021169621593014026
903313767596822528,influential,0.9930765522983217
921880207870459904,fiber,0.24655963302752293
92928883,fiber,0.020007082152974504
94120026,fiber,0.016102165463631316
954124423,influential,0.010480349344978166
95588504,influential,0.009265858873841768
